name,address,lat,lng,rating,total_reviews,price_level,phone,website,is_partner,discount_value,open_hours,weekday_text,top_review,place_id
Saung Suluh Baturaden,"Jalan Raya, Dusun I, Karangtengah, Kec. Baturaden, Kabupaten Banyumas, Jawa Tengah 53151, Indonesia",-7.3424497,109.2339311,4.9,3272,2,0811-2915-522,https://www.instagram.com/saung.suluh,False,0,11:00 - 21:00,"Monday: 11:00 AM – 9:00 PM
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 11:00 AM – 10:00 PM
Sunday: 11:00 AM – 9:00 PM","I visited Saung Suluh in Baturaden and had a really pleasant time. I ordered the nasi goreng and liked it very much, especially because it has a nice smoky flavor, which suits my taste. The food overall is satisfying and enjoyable.
While waiting for the food, there are many activities you can do, such as playing football, feeding the fish, or even enjoying fish therapy, so you won’t get bored. They also offer homestay accommodation, which is a nice option if you want to stay longer and enjoy the area.
The atmosphere is calm and surrounded by nature, making the whole experience relaxing. Overall, it’s a good place with good food, lots of activities, and a pleasant environment.",ChIJUf_Jr3f1by4RURgwsOIeKvU
Society Coffee House,"Jl. Prof. Dr. Suharso No.9B, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.417701300000001,109.2521809,4.5,2448,2,0811-2821-168,https://societycoffeehouse.id/,False,0,09:00 - 23:00,"Monday: 9:00 AM – 11:00 PM
Tuesday: 9:00 AM – 11:00 PM
Wednesday: 9:00 AM – 11:00 PM
Thursday: 9:00 AM – 11:00 PM
Friday: 9:00 AM – 11:00 PM
Saturday: 9:00 AM – 11:00 PM
Sunday: 9:00 AM – 11:00 PM","Surprisingly their coffee and matcha was soooo good. They're using ceremonial grade matcha, I can tell. Also the coffee was premium. Gelato and cakes also delicious. They provided clean mushola, clean toilets, and huge space for group. We stayed at Purwokerto for 3 days and we came here twice in a row.",ChIJTT__QZNeZS4RGy218OUoIHI
Quattro Café,"Jl. Pungkuran No.10, Purwokerto, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.422108099999999,109.2307161,4.5,1904,2,(0281) 6512776,https://bit.ly/quattrocafe,False,0,10:00 - 22:00,"Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM","Well decorated cafe. Lots of menu variant. And surprisingly, all of them was great. This cafe also has indoor smoking area, which quite unusual but become its plus point.
I ordered:
1x Dimsum (Siomay): Very soft and delicious!
1x Salted Egg Tofu: Surprisingly delicious!
1x Pan Seared Salmon: Big cut of salmon meat & delicious cream sauce. If only the mashed potatoes a bit softer, it would be perfect!
1x Premium Tea (Camomile): Dilmah tea, love it
1x Quattro’s Bowl: A bowl of mixed fruit topped with matcha ice cream & almond. The soup itself was too plain, I thought it would be pure creamy yoghurt/pure plain milk, but it’s not.",ChIJVST3W2FeZS4RgDKqPx-Ynpg
Shushu Milkshake,"Gg. Volly No.11, Mangunjaya, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.4185943,109.2494252,4.6,1892,1,0822-1183-2013,,False,0,10:00 - 22:00,"Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 – 11:30 AM, 1:00 – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM",I love it. It's really suitable for students bcs the price is affordable and the taste of the drinks are really good. The place is neat and clean. There's a place for pray (mushola) and toilet.,ChIJXSYWV5JeZS4R2cJKGnykWqw
Ebony Cafe,"Jl. Raya Baturaden No.Km 8, Dusun III, Karangtengah, Kec. Baturaden, Kabupaten Banyumas, Jawa Tengah 53141, Indonesia",-7.336570099999999,109.2308175,4.9,1763,0,0811-260-811,,False,0,11:00 - 22:00,"Monday: Closed
Tuesday: 12:00 – 10:00 PM
Wednesday: 12:00 – 10:00 PM
Thursday: 12:00 – 10:00 PM
Friday: 12:00 – 10:00 PM
Saturday: 11:00 AM – 10:00 PM
Sunday: 11:00 AM – 10:00 PM","Totally recommended.
Good ambience pairs with good taste food. Tried their ""nasi goreng"", pizza, and coffee. They serve proper coffee, taste nice.
Service is also very good.
Worth every penny spent, not really expensive also.
Btw they also serve cocktails and wines.",ChIJgf-uoOj1by4RQJ8vsi0_yEs
Praketa,"Jl. H.R Boenyamin No.129 Desa Bancarkembar Kec. Purwokerto Utara, Dukuhbandong, Grendeng, Banyumas, Kabupaten Banyumas, Jawa Tengah 52212, Indonesia",-7.403594600000001,109.2448269,4.6,1372,1,0896-1368-7198,http://praketa.id/,False,0,08:00 - 23:00,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 11:00 PM","I think this cafe kinda gives me an 'indie' vibe. Gen-Z would call Praketa a 'skena banget' type since its unique atmosphere. Also, this cafe is good for working, chilling, even just hanging out with your friends.",ChIJdx4BBPteZS4RCb37zssM0MY
Taman Langit Restaurant,"Dusun II, Kebumen, Kec. Baturaden, Kabupaten Banyumas, Jawa Tengah 53151, Indonesia",-7.356223399999999,109.2269777,4.0,1346,2,0822-5799-7595,,False,0,10:00 - 22:00,"Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: 10:00 AM – 11:00 PM","This restaurant is considered upscale by locals and is a popular restaurant for special occasions due to its location. The restaurant is quite large with many seats inside and outside. It has a special platform with a glass floor which is popular for taking photos with a view.
The staff is very friendly and accommodating but also made quite a few mistakes with our order. The check was also incorrect and one dish too many added.
The menu is quite big, but we didn’t find the quality of the food to match the prices.
The wagyu steak was not very tender and the flavor was odd. It is one of the most expensive dishes on the menu, but we would not order it again. In fact, the much cheaper beef satay was far better.
We were a bigger group and tried many dishes, but nobody felt that that dishes were of very good quality.
The restrooms are not very clean.
All in all, this is an okay restaurant which lives off of its location and the view, and not because of the dining experience.",ChIJwSt6XHj1by4RDC3T8e2iOII
Jail Break Cafe,"Windusara, Karangklesem, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53144, Indonesia",-7.445486999999999,109.2436554,4.3,1212,2,0811-266-322,,False,0,,,"Went there for the first time a few days ago Nice atmosphere, really cool decor, food was good and good beverage selection (meaning alcohol) plan to go back on a Fri/Sat for DJ or live band! Great place in Purwokerto!",ChIJl8MQWi5cZS4Rin2MpXhSw7g
Kopi Calf Signature Gor Satria Purwokerto,"Jl. Prof. Dr. Suharso No.53, Mangunjaya, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.4174716,109.2500633,4.7,1165,0,,,False,0,08:00 - 23:00,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 12:00 AM
Sunday: 8:00 AM – 12:00 AM","Nice ambience. I love their dimsum, caramel pudding and dirty latte. For those who is planning to come here for the first time, i reccommend you to wear a (little) thick jacket just in case😉",ChIJ-egsYABfZS4Rr98i93iFuv0
Singgah Coffee & Book,"Jl. Riyanto No.29, Karangmiri, Sumampir, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.399841200000001,109.2411451,4.5,1120,2,0851-5808-3700,http://www.instagram.com/singgahcoffeebookpwt,False,0,07:00 - 22:00,"Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 7:00 AM – 10:00 PM
Sunday: 7:00 AM – 10:00 PM","i love the atmosphere of this place..
i went there twice and they have books to spend your time.
matcha latte was good but the fried rice was mid but still taste okay",ChIJIb6ym_5eZS4Ry8W2NILzYSg
